代码,名称,现价,总股本,流通A股,第一流通股东,第一流通股东股本,百份比,股东性质
600330,天通股份,12.53,58881.84,58881.84,潘建清,4775.52,8.11,自然人股
600331,宏达股份,13.31,103200.0,103200.0,四川宏达实业有限公司,37400.0,36.24,境内法人股
600332,广州药业,15.73,81090.0,59100.0,广州医药集团有限公司,39083.3,48.198,国有股
600333,长春燃气,9.53,46151.981,21671.981,泰康人寿保险股份有限公司－传统－普通保险产品－019L－CT001 沪,82.3495,0.178,境内法人股
600335,*ST盛工,15.3,27595.72,27595.72,天津工程机械研究院,11527.6,41.773,国有股
600336,澳柯玛,7.4,34103.6,34003.6,青岛市企业发展投资有限公司,16594.5,48.659,国有股
600337,美克股份,11.49,63268.042,51060.402,美克投资集团有限公司,21665.5,34.244,境内法人股
600338,ST珠峰,14.34,15833.333,15833.333,新疆塔城国际资源有限公司,4661.35,29.44,境内法人股
600339,天利高新,12.16,57815.469,57815.469,新疆独山子石油化工总厂,8588.33,16.34,国有股
600340,ST国祥,10.36,23251.948,23251.948,华夏幸福基业股份有限公司,3096.55,21.308,境内法人股
600343,航天动力,20.55,23968.317,23968.317,西安航天科技工业公司,6017.17,25.105,国有股
600345,长江通信,13.53,19800.0,19800.0,武汉经济发展投资(集团)有限公司,5681.4,28.694,国有股
600346,大橡塑,12.09,21000.0,21000.0,大连市国有资产投资经营集团有限公司,8957.95,42.657,国有股
600348,国阳新能,24.14,240500.0,240500.0,阳泉煤业(集团）有限责任公司,140304.0,58.338,国有股
600350,山东高速,4.14,336380.0,138529.04,中国人寿保险股份有限公司－分红－个人分红－005L－FH002 沪,2447.09,0.727,境内法人股
600351,亚宝药业,7.77,63295.2,63295.2,山西亚宝投资有限公司,10689.9,16.889,境内法人股
600352,浙江龙盛,9.58,146841.593,146841.593,阮水龙,19482.7,13.268,自然人股
600353,旭光股份,19.02,13593.0,11324.045,新的集团有限公司,3113.6,22.906,境内法人股
600354,敦煌种业,24.42,20354.64,18596.64,酒泉地区现代农业（控股集团）有限责任公司,2912.79,14.31,国有股
600355,ST精伦,6.46,24604.46,24604.46,张学阳,5031.53,20.45,自然人股
600356,恒丰纸业,8.48,23160.0,23160.0,牡丹江恒丰纸业集团有限责任公司,6000.0,31.088,国有股
600358,国旅联合,5.35,43200.0,43200.0,中国国旅集团有限公司,7355.61,17.027,国有股
600359,新农开发,13.5,32100.0,32100.0,阿拉尔统众国有资产经营有限责任公司,16305.0,50.794,国有股
600360,华微电子,6.17,67808.0,67808.0,上海鹏盛科技实业有限公司,4498.12,8.624,境内法人股
600361,华联综超,8.78,66580.792,48480.792,北京华联集团投资控股有限公司,12694.9,26.185,境内法人股
600362,江西铜业,35.44,346272.941,207524.741,江西铜业集团公司,134248.0,38.769,国有股
600363,联创光电,11.7,37080.675,37080.675,江西省电子集团公司,7569.21,20.413,国有股
600365,*ST通葡,11.62,14000.0,14000.0,新华联控股有限公司,1009.54,7.211,境内法人股
600366,宁波韵升,15.66,51449.775,51449.775,韵升控股集团有限公司,15066.0,38.068,境内法人股
600367,红星发展,17.96,29120.0,29120.0,成都森宇实业集团有限公司,462.746,1.589,境内法人股
600368,五洲交通,7.54,55586.769,55586.769,广西交通投资集团有限公司,18875.5,33.957,国有股
600369,西南证券,11.87,232255.456,37940.054,重庆市水务资产经营有限公司,4033.04,1.736,国有股
600370,三房巷,6.58,31889.769,31889.769,江苏三房巷集团有限公司,16049.2,50.327,境内法人股
600371,万向德农,12.48,17050.0,17050.0,万向三农有限公司,10434.6,61.2,境内法人股
600372,中航电子,41.97,82169.898,41000.0,中国航空科技工业股份有限公司,24198.8,49.933,国有股
600373,中文传媒,14.37,56724.502,18750.0,江西省出版集团公司,4000.0,7.052,境内法人股
600375,星马汽车,21.13,18748.125,18748.125,马鞍山华神建材工业有限公司,5761.48,30.731,国有股
600376,首开股份,13.21,149467.5,149467.5,北京首都开发控股（集团）有限公司,55000.0,47.837,国有股
600377,宁沪高速,5.41,503774.75,376429.476,Mondrian Investment Partners Limited,9586.4,1.903,境外法人股
600378,天科股份,12.72,27017.572,27017.572,中国昊华化工（集团）总公司,6250.34,23.134,国有股
600379,宝光股份,12.16,21441.66,21441.66,陕西宝光集团有限公司,4200.0,19.588,国有股
600380,健康元,9.21,131744.88,131744.88,深圳市百业源投资有限公司,63868.0,48.479,境内法人股
600381,ST贤成,9.52,45332.98,30638.4,西宁市国新投资控股有限公司,5543.55,12.229,境内法人股
600382,广东明珠,10.12,34174.66,29563.924,深圳市金信安投资有限公司,2451.97,7.175,境内法人股
600383,金地集团,6.41,447150.857,447150.857,深圳市福田投资发展公司,35106.1,7.851,国有股
600385,ST金泰,5.92,14810.715,14277.381,北京新恒基投资管理集团有限公司,2574.38,17.382,境内法人股
600386,北巴传媒,8.82,40320.0,40320.0,北京公共交通控股(集团)有限公司,22176.0,55.0,国有股
600387,海越股份,13.26,38610.0,38551.5,海口海越经济开发有限公司,8533.32,22.101,境内法人股
600388,龙净环保,27.33,21381.0,20790.0,福建省东正投资股份有限公司,3670.5,17.655,境内法人股
600389,江山股份,10.69,19800.0,19800.0,中化国际(控股)股份有限公司,1217.24,6.148,国有股
600390,金瑞科技,18.19,16005.0,16005.0,长沙矿冶研究院有限责任公司,6616.42,41.34,国有股
600391,成发科技,23.45,18340.52,7180.121,成都发动机（集团）有限公司,656.48,5.0,国有股
600392,太工天成,24.41,15660.0,15660.0,山西煤炭运销集团有限公司,3132.0,20.0,国有股
600393,东华实业,7.33,30000.0,28946.72,广州粤泰集团有限公司,13648.4,45.495,境内法人股
600395,盘江股份,33.19,110336.791,26631.067,中国工商银行－申万巴黎新动力股票型证券投资基金,531.091,0.481,境内法人股
600396,金山股份,8.36,34060.0,34060.0,丹东东方新能源有限公司,5760.85,16.914,境内法人股
600397,安源股份,16.55,26923.2,26923.2,江西省煤炭集团公司,13611.6,50.557,国有股
600398,凯诺科技,5.39,64660.408,54335.745,江阴第三精毛纺有限公司,4733.18,7.32,境内法人股
600399,抚顺特钢,7.14,52000.0,23246.49,东北特殊钢集团有限责任公司,1400.0,2.692,国有股
600400,红豆股份,6.81,43107.665,22870.519,冯雪松,380.0,0.882,自然人股
600403,大有能源,31.32,12746.7,12746.7,上海富欣投资发展有限公司,2592.56,20.339,境内法人股
600405,动力源,9.69,21825.02,20868.72,何振亚,2656.65,12.173,自然人股
600406,国电南瑞,36.3,105035.886,102024.0,南京南瑞集团公司,37020.7,35.246,国有股
600408,安泰集团,7.3,100680.0,100680.0,李安民,31573.8,31.361,自然人股
600409,三友化工,11.6,105958.033,93913.6,唐山三友碱业（集团）有限公司,47127.8,44.478,国有股
600410,华胜天成,14.96,50486.224,48176.136,王维航,5381.06,10.659,自然人股
600415,小商品城,12.29,136080.354,60125.87,浙江省财务开发公司,3686.66,2.709,境内法人股
600416,湘电股份,12.11,60848.454,60848.454,湘电集团有限公司,10517.4,34.569,国有股
600418,江淮汽车,11.11,128873.663,107286.84,安徽江淮汽车集团有限公司,23203.8,18.005,国有股
600419,ST天宏,11.55,8016.0,8016.0,新疆石河子造纸厂,3359.04,41.904,国有股
600420,现代制药,13.56,28773.34,28773.34,上海医药工业研究院,11975.6,41.621,国有股
600421,ST国药,6.19,19560.0,14059.57,许赟,855.0,4.371,自然人股
600422,昆明制药,11.37,31417.6,31417.6,华方医药科技有限公司,7647.49,24.341,境内法人股
600423,柳化股份,8.88,39934.751,39934.751,柳州化学工业集团有限公司,14495.8,36.299,国有股
600425,青松建化,20.82,47869.504,47869.504,阿拉尔统众国有资产经营有限责任公司,19768.4,41.296,国有股
600426,华鲁恒升,16.9,63575.0,49575.0,山东华鲁恒升集团有限公司,19322.0,30.393,国有股
